Memory Type;Block Size;Type Data;Buff Size;Launch Num;Timer;Write Time;Average Write Time;Write Bandwidth;Abs Error(write);Real Error(write);Read Time;Average Read Time;Read Bandwidth;Abs Error(read);Real Error(read);;;Write Bandwidth(8)
HDD;4 Mb;int;4;1;clock_gettime();0,306541;0,306541;1,37E+07;0,0004587;0,149414;0,0648245;0,0648245;6,47E+07;0,0001755;0,27;;;5,79E+06
HDD;8 Mb;int;4;2;clock_gettime();0,283243;0,294892;2,84E+07;0,0002425;0,085689;0,128652;0,0967384;8,67E+07;0,0006522;0,509531;;;7,59E+06
HDD;12 Mb;int;4;3;clock_gettime();0,462022;0,350602;3,59E+07;2,23E-05;0,00482684;0,236043;0,143173;8,79E+07;4,29E-05;0,018178;;;8,39E+06
HDD;16 Mb;int;4;4;clock_gettime();0,75653;0,452084;3,71E+07;0,0004698;0,0620608;0,262338;0,172964;9,70E+07;0,0003377;0,128893;;;9,24E+06
HDD;20 Mb;int;4;5;clock_gettime();1,20959;0,603584;3,47E+07;0,0004144;0,0342479;0,399932;0,218358;9,60E+07;6,80E-05;0,017;;;9,71E+06
HDD;24 Mb;int;4;6;clock_gettime();0,914377;0,655383;3,84E+07;0,0006228;0,0680656;0,423901;0,252615;9,96E+07;9,87E-05;0,0232783;;;9,96E+06
HDD;28 Mb;int;4;7;clock_gettime();1,24268;0,739282;3,97E+07;0,0003234;0,0260177;0,671726;0,312488;9,40E+07;0,0007258;0,108167;;;9,99E+06
HDD;32 Mb;int;4;8;clock_gettime();1,31047;0,810681;4,14E+07;0,0004689;0,0357939;0,610786;0,349775;9,59E+07;0,000214;0,0350245;;;1,03E+07
HDD;36 Mb;int;4;9;clock_gettime();1,50571;0,887906;4,25E+07;0,0002923;0,019409;0,63781;0,381779;9,89E+07;0,0001897;0,0297335;;;1,06E+07
HDD;40 Mb;int;4;10;clock_gettime();1,45681;0,944796;4,44E+07;0,000811;0,0557005;0,676226;0,411224;1,02E+08;0,0007742;0,114357;;;1,08E+07
HDD;44 Mb;int;4;11;clock_gettime();1,61996;1,00617;4,59E+07;4,47E-05;0,00275926;0,741326;0,441233;1,05E+08;0,0003263;0,0440351;;;1,05E+07
HDD;48 Mb;int;4;12;clock_gettime();1,74933;1,0681;4,71E+07;0,0003321;0,018988;0,807837;0,471783;1,07E+08;0,0001631;0,0201856;;;1,08E+07
HDD;52 Mb;int;4;13;clock_gettime();1,91297;1,13309;4,81E+07;2,66E-05;0,00139049;0,92295;0,506489;1,08E+08;5,00E-05;0,00541712;;;1,07E+07
HDD;56 Mb;int;4;14;clock_gettime();2,03192;1,1973;4,90E+07;7,63E-05;0,00375492;0,974596;0,539925;1,09E+08;0,0004043;0,0414667;;;1,08E+07
HDD;60 Mb;int;4;15;clock_gettime();2,27917;1,26942;4,96E+07;0,0001714;0,00752084;1,01943;0,571892;1,10E+08;0,0005703;0,0559118;;;1,11E+07
HDD;64 Mb;int;4;16;clock_gettime();2,44977;1,34319;5,00E+07;0,0002266;0,00924898;1,05031;0,601793;1,12E+08;0,0003108;0,0296;;;1,12E+07
HDD;68 Mb;int;4;17;clock_gettime();2,78582;1,42805;4,99E+07;0,0008178;0,0293645;1,16962;0,635194;1,12E+08;0,0003819;0,032641;;;1,10E+07
HDD;72 Mb;int;4;18;clock_gettime();2,7675;1,50247;5,02E+07;0,0005018;0,0181352;1,39358;0,677327;1,11E+08;0,0004212;0,0302152;;;1,11E+07
HDD;76 Mb;int;4;19;clock_gettime();2,6891;1,56492;5,09E+07;9,73E-05;0,00361845;1,31276;0,710771;1,12E+08;0,0002385;0,0181645;;;1,11E+07
HDD;80 Mb;int;4;20;clock_gettime();2,76075;1,62471;5,16E+07;0,0002501;0,00905831;1,40379;0,745422;1,13E+08;0,0002126;0,0151425;;;1,13E+07
;;;;;;;;;;;;;;;;;;
RAM;0,125 Mb;double;8;1;clock_gettime();0,0009973;0,0009973;1,31E+08;2,70E-06;0,27;0,0009972;0,0009972;1,31E+08;2,80E-06;0,28;;;
RAM;0,5 Mb;double;8;2;clock_gettime();0,0009974;0,0004987;1,05E+09;2,60E-06;0,26;0,0009657;0,00048285;1,09E+09;3,43E-05;3,43;;;
RAM;3 Mb;double;8;3;clock_gettime();0,0019578;0,000985067;3,19E+09;4,22E-05;0,11;0,002991;0,000997;3,16E+09;9,00E-06;0,3;;;
RAM;8 Mb;double;8;4;clock_gettime();0,0050182;0,00199335;4,21E+09;1,82E-05;0,364;0,0049899;0,00199523;4,20E+09;1,01E-05;0,202;;;
;;;;;;;;;;;;;;;;;;
RAM;0,125 Mb;int;4;1;clock_gettime();0,0009957;0,0009957;1,32E+08;4,30E-06;0,43;0,000997;0,000997;1,31E+08;3,00E-06;0,3;;;
RAM;0,5 Mb;int;4;2;clock_gettime();0,0009986;0,00049785;1,05E+09;1,40E-06;0,14;0,0009931;0,00099505;5,27E+08;6,90E-06;0,69;;;
RAM;3 Mb;int;4;3;clock_gettime();0,0029923;0,00132933;2,37E+09;7,70E-06;0,256667;0,0039893;0,00199313;1,58E+09;1,07E-05;0,2675;;;
RAM;8 Mb;int;4;4;clock_gettime();0,0109371;0,00373128;2,25E+09;6,29E-05;0,571818;0,010971;0,0042376;1,98E+09;2,90E-05;0,263636;;;
HDD;28 Mb;int;8;7;clock_gettime();5,7113;3,53476;8,31E+06;0,000297;0,00520049;0,414891;0,229463;1,28E+08;0,0001091;0,0262892;;;
HDD;32 Mb;int;8;8;clock_gettime();5,78763;3,81637;8,79E+06;0,0006292;0,0108726;0,361072;0,245914;1,36E+08;7,20E-05;0,0199446;;;
HDD;36 Mb;int;8;9;clock_gettime();6,94747;4,16427;9,06E+06;0,0004673;0,00672664;0,388961;0,261808;1,44E+08;3,93E-05;0,0101028;;;
HDD;40 Mb;int;8;10;clock_gettime();7,25923;4,47377;9,38E+06;0,0002274;0,00313266;0,439822;0,279609;1,50E+08;0,0001776;0,0403636;;;
HDD;4 Mb;int;8;1;clock_gettime();0,724037;0,724037;5,79E+06;0,0009633;0,132869;0,0473863;0,0473863;8,85E+07;0,0003863;0,821915;;;
HDD;8 Mb;int;8;2;clock_gettime();1,48622;1,10513;7,59E+06;0,000218;0,0146703;0,0838106;0,0655985;1,28E+08;0,0001894;0,225476;;;
HDD;12 Mb;int;8;3;clock_gettime();2,28839;1,49955;8,39E+06;0,0006133;0,0267934;0,126695;0,085964;1,46E+08;0,0006951;0,551667;;;
HDD;16 Mb;int;8;4;clock_gettime();2,76652;1,81629;9,24E+06;0,0004759;0,0171991;0,179863;0,109439;1,53E+08;0,0001375;0,0763889;;;
HDD;20 Mb;int;8;5;clock_gettime();3,53441;2,15991;9,71E+06;0,0004073;0,0115252;0,24335;0,136221;1,54E+08;0,0006497;0,26627;;;
HDD;24 Mb;int;8;6;clock_gettime();4,36424;2,5273;9,96E+06;0,0002411;0,00552475;0,25236;0,155577;1,62E+08;0,0006399;0,252925;;;
HDD;28 Mb;int;8;7;clock_gettime();5,40773;2,93879;9,99E+06;0,0002676;0,00494822;0,302193;0,176523;1,66E+08;0,0001934;0,0640397;;;
HDD;32 Mb;int;8;8;clock_gettime();5,44966;3,25265;1,03E+07;0,0003381;0,00620367;0,326126;0,195223;1,72E+08;0,000874;0,267278;;;
HDD;36 Mb;int;8;9;clock_gettime();6,07524;3,56627;1,06E+07;0,0002359;0,00388313;0,408936;0,218969;1,72E+08;6,35E-05;0,0155257;;;
HDD;40 Mb;int;8;10;clock_gettime();6,84845;3,89449;1,08E+07;0,0004535;0,00662237;0,413896;0,238462;1,76E+08;0,0001045;0,0252415;;;
HDD;44 Mb;int;8;11;clock_gettime();9,38985;4,39407;1,05E+07;0,0008452;0,00900202;0,467749;0,259306;1,78E+08;0,0002506;0,053547;;;
HDD;48 Mb;int;8;12;clock_gettime();7,79787;4,67772;1,08E+07;0,0001292;0,00165684;0,476729;0,277425;1,81E+08;0,0007293;0,153214;;;
HDD;52 Mb;int;8;13;clock_gettime();10,1595;5,09939;1,07E+07;0,000498;0,00490157;0,82618;0,319637;1,71E+08;0,00018;0,0217918;;;
HDD;56 Mb;int;8;14;clock_gettime();9,61349;5,42183;1,08E+07;0,0004933;0,00513159;0,571509;0,337627;1,74E+08;0,0004914;0,0859091;;;
HDD;60 Mb;int;8;15;clock_gettime();9,46183;5,69116;1,11E+07;0,0001702;0,00179877;0,590932;0,354514;1,77E+08;6,76E-05;0,0114382;;;
HDD;64 Mb;int;8;16;clock_gettime();10,7058;6,00458;1,12E+07;0,0001735;0,00162059;0,668674;0,374149;1,79E+08;0,0006741;0,100913;;;
HDD;68 Mb;int;8;17;clock_gettime();14,4056;6,49875;1,10E+07;0,0005582;0,00387504;0,818202;0,40027;1,78E+08;0,0002016;0,0246455;;;
HDD;72 Mb;int;8;18;clock_gettime();11,8742;6,79739;1,11E+07;0,0002126;0,00179047;0,73172;0,418684;1,80E+08;0,0002804;0,038306;;;
HDD;76 Mb;int;8;19;clock_gettime();13,5641;7,15353;1,11E+07;0,0001087;0,000801386;0,776476;0,437515;1,82E+08;0,0004763;0,0613789;;;
HDD;80 Mb;int;8;20;clock_gettime();12,8984;7,44078;1,13E+07;0,0003586;0,00278028;0,84922;0,4581;1,83E+08;0,0002195;0,0258539;;;
